day,trade_7d,trade_14d,trade_91d,trade_182d,trade_365d,Proj_traded,Token_traded
2019-04-20,0.050955414012738856,0.06369426751592357,0.18471337579617833,0.2611464968152866,0.3184713375796178,11,155
2019-04-21,0.064,0.08,0.168,0.28,0.328,10,124
2019-04-22,0.02912621359223301,0.02912621359223301,0.1262135922330097,0.1941747572815534,0.2815533980582524,16,103
2019-04-23,0.007874015748031496,0.015748031496062992,0.14173228346456693,0.23622047244094488,0.30708661417322836,10,127
2019-04-24,0.014492753623188406,0.043478260869565216,0.10869565217391304,0.15217391304347827,0.21739130434782608,12,138
2019-04-25,0.020833333333333332,0.041666666666666664,0.11458333333333333,0.1875,0.2708333333333333,12,96
2019-04-26,0.00909090909090909,0.00909090909090909,0.07272727272727272,0.15454545454545454,0.2909090909090909,12,110
2019-04-27,0.02040816326530612,0.02040816326530612,0.06802721088435375,0.12244897959183673,0.19047619047619047,12,146
2019-04-28,0.045871559633027525,0.05504587155963303,0.12844036697247707,0.21100917431192662,0.26605504587155965,12,108
2019-04-29,0.0297029702970297,0.0297029702970297,0.06930693069306931,0.09900990099009901,0.1782178217821782,8,101
2019-04-30,0.0,0.012345679012345678,0.13580246913580246,0.18518518518518517,0.24691358024691357,15,81
2019-05-01,0.008771929824561403,0.017543859649122806,0.07017543859649122,0.08771929824561403,0.14035087719298245,8,114
2019-05-02,0.035398230088495575,0.04424778761061947,0.1592920353982301,0.22123893805309736,0.2920353982300885,11,112
2019-05-03,0.020833333333333332,0.041666666666666664,0.14583333333333334,0.16666666666666666,0.21875,12,96
2019-05-04,0.02912621359223301,0.04854368932038835,0.17475728155339806,0.22330097087378642,0.2524271844660194,11,103
2019-05-05,0.029411764705882353,0.06862745098039216,0.1568627450980392,0.18627450980392157,0.27450980392156865,12,102
2019-05-06,0.015544041450777202,0.04145077720207254,0.12435233160621761,0.15544041450777202,0.20725388601036268,16,192
2019-05-07,0.02727272727272727,0.03636363636363636,0.15454545454545454,0.2,0.2727272727272727,14,110
2019-05-08,0.025,0.0625,0.1125,0.1625,0.25,10,80
2019-05-09,0.0,0.008130081300813009,0.04878048780487805,0.12195121951219512,0.2682926829268293,11,123
2019-05-10,0.00641025641025641,0.01282051282051282,0.07692307692307693,0.12179487179487179,0.14102564102564102,17,156
2019-05-11,0.015625,0.046875,0.109375,0.140625,0.203125,10,64
2019-05-12,0.024691358024691357,0.04938271604938271,0.1111111111111111,0.20987654320987653,0.24691358024691357,12,81
2019-05-13,0.0,0.022988505747126436,0.09195402298850575,0.19540229885057472,0.27586206896551724,11,87
2019-05-14,0.008403361344537815,0.03361344537815126,0.09243697478991597,0.17647058823529413,0.25210084033613445,16,119
2019-05-15,0.0,0.01098901098901099,0.12087912087912088,0.23076923076923078,0.27472527472527475,13,91
2019-05-16,0.06779661016949153,0.1016949152542373,0.22033898305084745,0.288135593220339,0.3389830508474576,9,58
2019-05-17,0.0,0.011764705882352941,0.07058823529411765,0.1411764705882353,0.17647058823529413,15,85
2019-05-18,0.00980392156862745,0.0196078431372549,0.11764705882352941,0.14705882352941177,0.17647058823529413,14,102
2019-05-19,0.03508771929824561,0.05263157894736842,0.15789473684210525,0.17543859649122806,0.2631578947368421,8,57
2019-05-20,0.01282051282051282,0.02564102564102564,0.038461538461538464,0.11538461538461539,0.1794871794871795,17,78
2019-05-21,0.031914893617021274,0.0425531914893617,0.22340425531914893,0.32978723404255317,0.39361702127659576,10,94
2019-05-22,0.02564102564102564,0.02564102564102564,0.11538461538461539,0.14102564102564102,0.24358974358974358,10,78
