day,N,N1,N2,M,M[-1],N1/M[-1],N2/M[-1],N1/N,N2/N
2019-10-19,142,101.0,41.0,29871.0,29770.0,0.0033926771918038295,0.0013772253946926435,0.7112676056338029,0.2887323943661972
2019-10-20,185,146.0,39.0,30017.0,29871.0,0.004887683706605068,0.0013056141408054635,0.7891891891891892,0.21081081081081082
2019-10-21,211,174.0,37.0,30191.0,30017.0,0.00579671519472299,0.0012326348402571876,0.8246445497630331,0.17535545023696683
2019-10-22,252,214.0,38.0,30405.0,30191.0,0.007088205094233381,0.0012586532410320957,0.8492063492063492,0.15079365079365079
2019-10-23,126,104.0,22.0,30509.0,30405.0,0.0034204900509784576,0.0007235652030915967,0.8253968253968254,0.1746031746031746
2019-10-24,116,81.0,35.0,30590.0,30509.0,0.0026549542757874725,0.0011472024648464388,0.6982758620689655,0.3017241379310345
2019-10-25,185,157.0,28.0,30747.0,30590.0,0.0051323962079110825,0.0009153318077803204,0.8486486486486486,0.15135135135135136
2019-10-26,139,117.0,22.0,30864.0,30747.0,0.0038052492926139137,0.0007155169610043256,0.841726618705036,0.15827338129496402
2019-10-27,146,108.0,38.0,30972.0,30864.0,0.003499222395023328,0.0012312078797304302,0.7397260273972602,0.2602739726027397
2019-10-28,168,147.0,21.0,31119.0,30972.0,0.004746222394420767,0.0006780317706315381,0.875,0.125
2019-10-29,129,103.0,26.0,31222.0,31119.0,0.0033098749959831614,0.0008355024261705068,0.7984496124031008,0.20155038759689922
2019-10-30,169,134.0,35.0,31356.0,31222.0,0.004291845493562232,0.0011210044199602843,0.7928994082840237,0.20710059171597633
2019-10-31,186,163.0,23.0,31519.0,31356.0,0.005198367138665646,0.0007335119275417783,0.8763440860215054,0.12365591397849462
2019-11-01,133,108.0,25.0,31627.0,31519.0,0.003426504647990101,0.0007931723722199309,0.8120300751879699,0.18796992481203006
2019-11-02,125,93.0,32.0,31720.0,31627.0,0.002940525500363613,0.0010117937205552218,0.744,0.256
2019-11-03,123,96.0,27.0,31816.0,31720.0,0.003026481715006305,0.0008511979823455233,0.7804878048780488,0.21951219512195122
2019-11-04,100,75.0,25.0,31891.0,31816.0,0.0023573045008800603,0.0007857681669600201,0.75,0.25
2019-11-05,167,136.0,31.0,32027.0,31891.0,0.004264526041829983,0.0009720610830641873,0.8143712574850299,0.18562874251497005
2019-11-06,79,56.0,23.0,32083.0,32027.0,0.00174852468229931,0.0007181440659443594,0.7088607594936709,0.2911392405063291
2019-11-07,89,76.0,13.0,32159.0,32083.0,0.0023688557803197953,0.00040519901505470186,0.8539325842696629,0.14606741573033707
2019-11-08,145,119.0,26.0,32278.0,32159.0,0.003700363817282876,0.000808482850834914,0.8206896551724138,0.1793103448275862
2019-11-09,93,74.0,19.0,32352.0,32278.0,0.00229258318359254,0.0005886362228143008,0.7956989247311828,0.20430107526881722
2019-11-10,123,110.0,13.0,32462.0,32352.0,0.0034000989119683483,0.0004018298714144411,0.8943089430894309,0.10569105691056911
2019-11-11,126,102.0,24.0,32564.0,32462.0,0.003142135419875547,0.0007393259811471875,0.8095238095238095,0.19047619047619047
2019-11-12,164,136.0,28.0,32700.0,32564.0,0.004176391106743643,0.0008598452278589854,0.8292682926829268,0.17073170731707318
